Start,End,Quality,TimeInBed,WakeUp,SleepNotes,HeartRate
3/5/16 23:20,3/6/16 7:31,98%,8:11,,Drank tea,
3/6/16 23:08,3/7/16 6:19,70%,7:11,,Drank coffee:Drank tea,
3/7/16 22:50,3/8/16 6:22,75%,7:32,,Drank tea:Worked out,
3/8/16 21:40,3/9/16 6:25,91%,8:44,,Drank tea:Worked out,
3/9/16 22:40,3/10/16 5:49,79%,7:09,,Drank tea,
3/10/16 21:35,3/11/16 5:34,92%,7:58,,Drank tea:Worked out,
3/12/16 1:33,3/12/16 7:50,69%,6:17,,Drank coffee:Worked out,
3/12/16 23:44,3/13/16 7:51,83%,7:07,,Drank tea,
3/13/16 22:47,3/14/16 5:40,82%,6:53,,Drank tea:Worked out,
3/14/16 22:16,3/15/16 5:46,79%,7:29,,Drank tea:Worked out,
3/15/16 22:41,3/16/16 6:25,85%,7:43,,Drank coffee:Drank tea:Worked out,
3/16/16 22:25,3/17/16 7:05,90%,8:39,,Drank coffee:Worked out,
3/17/16 22:46,3/18/16 7:08,98%,8:22,,Drank coffee:Drank tea,
3/18/16 22:17,3/19/16 7:47,87%,9:30,,Drank coffee,
3/20/16 22:13,3/21/16 7:26,80%,9:13,,Drank coffee,
3/21/16 22:37,3/22/16 7:32,80%,8:54,,Drank coffee,
3/22/16 21:22,3/23/16 6:19,80%,8:56,,Drank coffee:Drank tea,
3/23/16 22:06,3/24/16 5:20,65%,7:13,,Drank coffee:Drank tea:Worked out,
3/27/16 23:28,3/28/16 7:30,82%,8:01,,Drank coffee,
3/28/16 23:32,3/29/16 6:29,75%,6:56,,Drank coffee:Stressful day:Worked out,
3/29/16 23:12,3/30/16 6:25,66%,7:13,,Drank coffee:Worked out,
3/30/16 22:58,3/31/16 6:25,58%,7:26,,Drank coffee:Drank tea:Worked out,
3/31/16 22:47,4/1/16 6:30,89%,7:42,,Drank coffee:Drank tea:Worked out,
4/2/16 21:20,4/3/16 7:08,86%,9:47,,Drank coffee,
